risk,zip,latitude,longitude,facility_type,dba_name,address,neighborhood
Risk 1 (High),60608.0,41.8578360901,-87.6710064727,restaurant,"5 rabanitos, inc",1758 w 18th st ,Lower West Side
Risk 2 (Medium),60620.0,41.7503223874,-87.6441824061,restaurant,5 star chicken & fish,7908 s halsted st ,Auburn Gresham
Risk 2 (Medium),60612.0,41.8811912398,-87.695806048,grocery store,5 stars mini mart inc,2748-2750 w madison st ,Garfield Park
Risk 2 (Medium),60651.0,41.895023315,-87.7578348083,restaurant,"5 stars steak, fish & chicken, inc",5254 w chicago ave ,Austin
Risk 2 (Medium),60651.0,41.8950583462,-87.7527809047,grocery store,"50/50 food mart, inc.",5050 w chicago ave ,Austin
Risk 2 (Medium),60624.0,41.8806071726,-87.726398811,grocery store,"50/50 grocery & beauty, inc.",4017 w madison st ,Garfield Park
Risk 1 (High),60651.0,41.9028307546,-87.720433922,other,500 degress soul food restaurant,3734 w division st ,Humboldt Park
Risk 3 (Low),60618.0,41.9445704778,-87.7125020431,other,5000 yrs foods inc,3465 n kimball ave ,Avondale
Risk 3 (Low),60611.0,41.8912792935,-87.6141075333,other,505 market,505 n lake shore dr ,Streeterville
Risk 1 (High),60625.0,41.9738715879,-87.6917898383,restaurant,5077 kiko meat market,5077 n lincoln ave ,Lincoln Square
Risk 3 (Low),60609.0,41.8015401283,-87.6451969891,grocery store,"51 halsted, inc.",5101-5109 s halsted st ,New City
Risk 3 (Low),60625.0,41.9741379698,-87.6892360179,other,5100 corp.,5100 n western ave ,Lincoln Square
Risk 1 (High),60654.0,41.8914181012,-87.6279147561,other,"515 n state street chicago, lp",515 n state st ,River North
Risk 3 (Low),60625.0,41.9757634605,-87.6921998627,other,5159 grill,5159 n lincoln ave ,Lincoln Square
Risk 2 (Medium),60615.0,41.8018686328,-87.6239142714,grocery store,51st quick mart & cellular,51 e 51st st ,Washington Park
Risk 3 (Low),60609.0,41.797579996,-87.6648248185,grocery store,53rd corner mart,5300 s ashland ave ,New City
Risk 2 (Medium),60609.0,41.7978225881,-87.6645368783,grocery store,"53rd food mart, inc",5257 s ashland ave ,New City
Risk 3 (Low),60615.0,41.7996773334,-87.5868106409,restaurant,53rd street bicycle center,1558 e 53rd st ,Hyde Park
Risk 3 (Low),60615.0,41.7994009602,-87.5919113939,grocery store,53rd street mini mart,1379 e 53rd st ,Hyde Park
Risk 1 (High),60661.0,41.8819664488,-87.6412758255,restaurant,540 cafe,540 w madison st ,West Loop
Risk 2 (Medium),60622.0,41.9031982423,-87.6697953365,restaurant,5411 empanadas,1659 w division st ,East Village
Risk 2 (Medium),60606.0,41.8852107267,-87.6352512095,restaurant,5411 empanadas,175 n franklin st ,Loop
Risk 2 (Medium),60647.0,41.9103413263,-87.6792826045,restaurant,5411 empanadas,2045 w north ave ,Wicker Park
